iter	TotalF1	MultiClass
277	0.7401437649	0.7293532281
278	0.7393918267	0.7290567017
279	0.7399707694	0.7284713457
280	0.7413203274	0.7278576106
281	0.7416682276	0.7274119135
282	0.7432501724	0.7266389333
283	0.7439394002	0.7262673488
284	0.7440008907	0.7253719515
285	0.7443660102	0.7245708199
286	0.7450054693	0.7240972014
287	0.7453454807	0.7234731871
288	0.7462358297	0.7228677196
289	0.745636674	0.7225854027
290	0.7469016953	0.7218638888
291	0.7485015476	0.7211104431
292	0.7491101654	0.7206534562
293	0.7505349024	0.719778717
294	0.7518175494	0.7190511156
295	0.7527361239	0.7184400531
296	0.75264147	0.7178747556
297	0.7540251711	0.7173052779
298	0.7544559501	0.7167957858
299	0.7550038136	0.7163112146
300	0.7555102615	0.7159225142
301	0.7560332049	0.7151272752
302	0.7576300342	0.7139520299
303	0.7587178352	0.7135048591
304	0.7582124044	0.7130172136
305	0.7587996104	0.7120259363
306	0.7601797693	0.7111370378
307	0.7602026631	0.7105893044
308	0.7612673627	0.7099507841
309	0.7630763606	0.709329688
310	0.7635177883	0.7086281822
311	0.7641557228	0.7078722783
312	0.7650701112	0.7072742245
313	0.7657642758	0.7067979305
314	0.7663291268	0.7062058579
315	0.7682565356	0.7053261714
316	0.7683884998	0.7050957928
317	0.7693108558	0.704106532
318	0.7707389661	0.7032190913
319	0.7713556342	0.7026685014
320	0.7715292155	0.7021226983
321	0.7723274468	0.7011750857
322	0.7733262187	0.7005650451
323	0.7743415839	0.700020098
324	0.7750316039	0.6992081287
325	0.7755133245	0.6988744404
326	0.7759930533	0.6980929428
327	0.7771062214	0.6973175438
328	0.7769935195	0.6966554535
329	0.7785711951	0.6960094285
330	0.7804470006	0.6948098266
331	0.7812370444	0.693988593
332	0.7813810893	0.6935468406
333	0.7818882363	0.6929520105
334	0.7828470252	0.6923421934
335	0.7834325118	0.6919946729
336	0.7840705837	0.691269327
337	0.7843696211	0.6906560818
338	0.7853996719	0.6899074067
339	0.7865473888	0.6894124517
340	0.7866084099	0.688595969
341	0.7877232351	0.6878607051
342	0.7881278686	0.6872945
343	0.7893071382	0.6865066211
344	0.7898745869	0.685913544
345	0.7910960322	0.6851708622
346	0.792951872	0.6841477502
347	0.7931136979	0.6835051368
348	0.7935970799	0.6830090261
349	0.7944582892	0.6824401548
350	0.7955804334	0.6817918193
351	0.7965159808	0.6813518492
352	0.7973168047	0.6808990813
353	0.7968392544	0.6801362788
354	0.797904563	0.6793713058
355	0.7991107868	0.6787316344
356	0.7993716694	0.6781974256
357	0.8000473941	0.677622388
358	0.8020743272	0.6769378319
359	0.8028728794	0.676343493
360	0.8031288985	0.6756690577
361	0.8034892213	0.6747098734
362	0.8049774431	0.673808064
363	0.8052704905	0.6730797388
364	0.805293578	0.6726342649
365	0.8054258249	0.6721336883
366	0.8070414019	0.6713146755
367	0.8068599663	0.6708180785
368	0.8084895642	0.6703797856
369	0.8080419048	0.6697171205
370	0.8098224976	0.6687202083
371	0.8112252185	0.6682578498
372	0.8115052404	0.6677025188
373	0.8126834165	0.6670837431
374	0.8124598992	0.6663148832
375	0.8127708405	0.6657325128
376	0.8147862683	0.6649024281
377	0.8158168208	0.6644551373
378	0.8167782425	0.6637507033
379	0.8166753468	0.6633705654
380	0.8173248228	0.6627047232
381	0.8177445158	0.6621295667
382	0.8173472709	0.6616202033
383	0.8182456525	0.6609393015
384	0.819552288	0.6604861646
385	0.8198612241	0.6599476732
386	0.8206820016	0.6595185701
387	0.8210130769	0.6587294438
388	0.8220132548	0.658163497
389	0.8225721397	0.6578074006
390	0.8231867224	0.6572807539
391	0.8243026257	0.6566671691
392	0.8241914847	0.6559251236
393	0.8247489418	0.6553636964
394	0.8253521337	0.6546811617
395	0.8281082195	0.6542716524
396	0.8276946553	0.6538280752
397	0.8274427084	0.6535053739
398	0.8278409449	0.6529674297
399	0.8273441715	0.652591678
400	0.828118664	0.6520828485
401	0.8297743516	0.6515072065
402	0.8298918723	0.6507090049
403	0.8307824562	0.6501069172
404	0.8311361857	0.6497394742
405	0.8315503992	0.6490648108
406	0.83271325	0.6485446253
407	0.8324182451	0.6479703888
408	0.8330065857	0.6470880818
409	0.8333784924	0.6465283016
410	0.8339840469	0.6459697078
411	0.8345580404	0.6453103317
412	0.8354307579	0.644572122
413	0.8362800198	0.6441498823
414	0.8371339312	0.6435441976
415	0.8376729045	0.6427135557
416	0.8375229993	0.6420798849
417	0.8386217843	0.6412617045
418	0.8394577067	0.6403226497
419	0.8390456233	0.6396398596
420	0.839765478	0.6392848184
421	0.8406282048	0.6389456124
422	0.8420396155	0.6381675714
423	0.842847197	0.6373352133
424	0.8439765004	0.6369933168
425	0.8438769294	0.6361893997
426	0.8445789419	0.6356224492
427	0.844714683	0.6351365428
428	0.8461380036	0.6344995416
429	0.8465278146	0.634069257
430	0.8458272633	0.6333521506
431	0.8462484475	0.6330491486
432	0.8471215772	0.6323654837
433	0.8472221715	0.6319326164
434	0.8484411507	0.6313620552
435	0.8481567045	0.6309636228
436	0.848987478	0.6301758866
437	0.8494630217	0.6293990485
438	0.8506018448	0.6290363525
439	0.8500558325	0.6285107557
440	0.8500504242	0.6278916752
441	0.8506018448	0.6275524062
442	0.8509896674	0.6271388201
443	0.8520600749	0.626419479
444	0.8530797908	0.6256960503
445	0.8534522627	0.6251923615
446	0.855458414	0.6245444008
447	0.8561413912	0.6236600791
448	0.8569672248	0.6230476951
449	0.8584351418	0.6226658116
450	0.8592746995	0.6220012722
451	0.8596278729	0.6214393806
452	0.8606157065	0.6204564228
453	0.8613509314	0.6198600391
454	0.8616353729	0.619262449
455	0.862598043	0.6183679264
456	0.86246405	0.6179417798
457	0.8633805468	0.6175123814
458	0.8635725059	0.6172178826
459	0.8632624705	0.6167168636
460	0.8632485171	0.6161364346
461	0.8639518395	0.6153540315
462	0.8640862677	0.6148182373
463	0.865088567	0.61436962
464	0.8664774112	0.6138095215
465	0.8660466067	0.6135716178
466	0.8663725954	0.6130129496
467	0.8666211604	0.6125386056
468	0.8679697118	0.6117281734
469	0.8679580752	0.6112723821
470	0.8686179035	0.6108431949
471	0.8687896417	0.6102467411
472	0.869065293	0.6097419457
473	0.8692087969	0.6091192912
474	0.870211614	0.6084934581
475	0.8702116913	0.6081684763
476	0.8711611564	0.6073946909
477	0.8709000427	0.6065684964
478	0.8719954079	0.605856742
479	0.8730658187	0.6052317698
480	0.8733573535	0.6045466702
481	0.8740596157	0.6039980041
482	0.8750361795	0.6033747236
483	0.8757471732	0.6028752973
484	0.8768518544	0.6024063257
485	0.8767517893	0.6019007234
486	0.8772969374	0.6014979315
487	0.8774273217	0.6011810588
488	0.877970527	0.6007761216
489	0.8782211301	0.6001544792
490	0.8793096299	0.5996668519
491	0.879709635	0.5993885482
492	0.8802742298	0.5990768265
493	0.880832155	0.5985887727
494	0.8809476168	0.5981806403
495	0.8821627948	0.5973865716
496	0.8820340747	0.5969399826
497	0.882555766	0.5965650992
498	0.882960614	0.595962117
499	0.8828187469	0.5952069275
500	0.8833847503	0.5945629385
501	0.8837913761	0.594045647
502	0.883636859	0.5936552782
503	0.8841612693	0.5933870648
504	0.8855603376	0.5927178521
505	0.88529837	0.5924689149
506	0.8857877006	0.5920487542
507	0.8858035161	0.591769514
508	0.885671408	0.5913445736
509	0.8864995624	0.5908180565
510	0.887056115	0.5899410647
511	0.8869025783	0.5896115098
512	0.887338066	0.5891409158
513	0.8883084921	0.5886460317
514	0.8894046875	0.5882079319
515	0.8892665467	0.5877800325
516	0.8889907798	0.5872014901
517	0.889011732	0.586841208
518	0.8894259651	0.5866983968
519	0.8898104292	0.5860320309
520	0.8908674235	0.5855762575
521	0.8912988827	0.5854173011
522	0.8910410569	0.5849514279
523	0.8914487681	0.5843596621
524	0.8918968763	0.5838843914
525	0.8924224707	0.583391693
526	0.8922757896	0.5829763067
527	0.8929653725	0.5827243425
528	0.8935220807	0.5822530624
529	0.8932436794	0.5816391527
530	0.8940977183	0.5812282134
531	0.894647261	0.5808334174
532	0.8954620183	0.5801963185
533	0.8955915258	0.5799768794
534	0.8957450413	0.5793696543
535	0.896157541	0.5788667416
536	0.8961417159	0.5784013822
537	0.8970994075	0.5780964078
538	0.8979604208	0.5771715106
539	0.8983658118	0.5763453865
540	0.8987699987	0.5755904704
541	0.8991867692	0.5750021576
542	0.9000101206	0.57443077
543	0.9001521129	0.5741827782
544	0.9012437922	0.5737522687
545	0.9004142453	0.5733949096
546	0.9012315313	0.572806018
547	0.901511245	0.5719951813
548	0.9023357659	0.5714471332
549	0.902317221	0.5708399803
550	0.9028448823	0.570257054
551	0.9032694795	0.5697373925
552	0.9038196756	0.5691742975
553	0.9041008913	0.5685523145
554	0.9053260889	0.5681133305
555	0.9051841432	0.5674206323
556	0.9053023469	0.5669533052
557	0.9050241844	0.5667336919
558	0.9061380252	0.566286063
559	0.9062644439	0.5656099032
560	0.9069443055	0.5648120707
561	0.9074867236	0.564337691
562	0.9078830388	0.5637162928
563	0.9081642675	0.5631662911
564	0.9087288704	0.5627917354
565	0.9087238025	0.562432953
566	0.9095824285	0.5618606575
567	0.9105215593	0.5614531765
568	0.9100957758	0.5611526263
569	0.9099662347	0.5607354778
570	0.9103664893	0.5602500486
571	0.9104868195	0.5599131902
572	0.910628172	0.5594446805
573	0.9115948544	0.5589851143
574	0.9117222002	0.5586841554
575	0.9114506457	0.5583303278
576	0.9114456499	0.5579145893
577	0.9121438264	0.5572252893
578	0.9131021769	0.5565010353
579	0.913621265	0.556195265
580	0.9137588231	0.5556890792
581	0.9133446078	0.5552307944
582	0.9130796932	0.5548294237
583	0.9130848616	0.5544753981
584	0.9132303591	0.5542025187
585	0.9137799595	0.5536170224
586	0.9137620349	0.5531042581
587	0.9143097551	0.5525433496
588	0.914590649	0.5518196688
589	0.9147406889	0.5512730606
590	0.9147362649	0.5508607349
591	0.9151339072	0.5503211782
592	0.9162345259	0.549581372
593	0.9164945017	0.5491140352
594	0.9167831252	0.5486188804
595	0.9169027981	0.5480242061
596	0.9169006084	0.547555331
597	0.9173166543	0.5469359103
598	0.9178650128	0.5463708742
599	0.9181427571	0.5459718647
600	0.918010307	0.5453586794
601	0.9182836218	0.5449366182
602	0.9188234792	0.544436402
603	0.9184248251	0.543876738
604	0.9186947267	0.5437044112
605	0.9190852245	0.5430345973
606	0.9192276769	0.542585202
607	0.9196262689	0.541851784
608	0.9198880956	0.5416114216
609	0.9205718136	0.5411051485
610	0.92110634	0.5406692513
611	0.9210950611	0.5404017226
612	0.9215087916	0.5400021199
613	0.9220461624	0.539583525
614	0.9225824942	0.5390804643
615	0.9227100033	0.538734034
616	0.9223105541	0.5382276481
617	0.9227123331	0.5378685329
618	0.9228436955	0.5376394215
619	0.9228566093	0.5372391353
620	0.9231212274	0.5370017937
621	0.9232626806	0.5366160282
622	0.9240684767	0.535994987
623	0.9239351263	0.5354534041
624	0.9243409772	0.5349112883
625	0.924348922	0.5348009995
626	0.924594508	0.534293327
627	0.9252894692	0.533779006
628	0.9255596554	0.5333056581
629	0.9256765052	0.5330399175
630	0.9256714544	0.5326099923
631	0.9254062293	0.5323248143
632	0.9258177304	0.532134863
633	0.9256808378	0.5317556258
634	0.9258177304	0.5313939594
635	0.926341748	0.5308065034
636	0.9270176958	0.5304067183
637	0.9267488362	0.5300285884
638	0.927287787	0.5294619304
639	0.9278282745	0.5288579946
